TTLAYER OUTPUT FILE
--------------------------------------------------------------------------------
 input 
 Maximum delta in km:  200.0
 Delta increment in km:    5.0
 Hypocentral depth in km:   10.0
 Phase type:  
--------------------------------------------------------------------------------
 output (layer=layer model, grad=gradient model
    distance  tp (layer)   tp (grad)  ts (layer)   ts (grad)
--------------------------------------------------------------------------------
       0.000       1.647       1.598       2.850       2.764
       5.000       1.842       2.255       3.187       3.901
      10.000       2.331       2.844       4.033       4.920
      15.000       2.972       3.433       5.142       5.939
      20.000       3.687       4.022       6.379       6.957
      25.000       4.440       4.611       7.682       7.976
      30.000       5.215       5.199       9.022       8.995
      35.000       6.003       5.788      10.385      10.014
      40.000       6.800       6.377      11.764      11.033
      45.000       7.603       6.966      13.152      12.051
      50.000       8.409       7.555      14.548      13.070
      55.000       9.220       8.144      15.950      14.089
      60.000      10.032       8.733      17.355      15.108
      65.000      10.846       9.322      18.764      16.127
      70.000      11.662       9.911      20.175      17.145
      75.000      12.479      10.500      21.589      18.164
      80.000      13.297      11.088      23.004      19.183
      85.000      14.116      11.677      24.420      20.202
      90.000      14.905      12.266      25.786      21.221
      95.000      15.659      12.855      27.090      22.239
     100.000      16.413      13.444      28.394      23.258
     105.000      17.167      14.033      29.698      24.277
     110.000      17.921      14.622      31.003      25.296
     115.000      18.674      15.211      32.307      26.315
     120.000      19.428      15.800      33.611      27.333
     125.000      20.182      16.389      34.915      28.352
     130.000      20.936      16.977      36.219      29.371
     135.000      21.690      17.566      37.524      30.390
     140.000      22.444      18.155      38.828      31.409
     145.000      23.198      18.744      40.132      32.427
     150.000      23.952      19.333      41.436      33.446
     155.000      24.705      19.922      42.740      34.465
     160.000      25.459      20.511      44.045      35.484
     165.000      26.213      21.100      45.349      36.503
     170.000      26.967      21.689      46.653      37.521
     175.000      27.721      22.278      47.957      38.540
     180.000      28.475      22.866      49.261      39.559
     185.000      29.229      23.455      50.565      40.578
     190.000      29.982      24.044      51.870      41.597
     195.000      30.703      24.633      53.116      42.615
     200.000      31.326      25.222      54.195      43.634
