SEISAN data: Full	 EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2010 02 19 21 08 59.30	410078 6306223	 22.0	0.90
EIK3D: 		2010 02 19 21 09 01.07	445500 6323000	 0.0	0.63

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  1.630		  0.351		 21.090		 18.043
MUD	S	  0.990		  0.098		 32.860		 30.200
COP	P	 -0.710		 -1.212		 45.180		 42.910
BSD	P	 -0.820		 -1.064		 66.020		 64.008
HFS	Pn	 -0.500		 -0.190		 67.690		 66.232
HFS	Sn	 -2.820		 -0.954		113.220		113.318
KONO	P	 -0.340		 -0.734		 45.710		 43.548
KONO	S	 -0.560		  0.072		 79.160		 78.024
SNART	P	  0.390		 -1.401		 26.430		 22.871
SNART	S	  2.030		  0.266		 48.470		 44.938

