SEISAN data: Reduced EIK3D model: 3D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2008 12 16 05 20 03.10	786232 6156088	 36.6	0.40
EIK3D: 		2008 12 16 05 20 02.52	791500 6175000	 15.0	0.56

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.530		  0.310		 41.660		 42.017
COP	P	  0.350		  0.992		 13.510		 14.729
COP	S	 -0.040		  0.620		 22.050		 23.287
BSD	P	 -0.030		  0.678		 16.020		 17.305
BSD	S	  0.180		  0.960		 28.150		 29.507
HFS	Pn	 -0.540		 -0.150		 67.750		 68.717
HFS	S	  0.820		  1.055		120.690		121.502
KONO	P	 -1.400		 -0.362		 66.250		 67.865
KONO	S	  0.120		  1.457		119.660		121.574

