SEISAN data: Full	 EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2008 12 16 05 20 02.90	779325 6179754	 9.0	3.40
EIK3D: 		2008 12 16 05 20 02.13	783500 6152500	 51.5	0.63

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	 -0.010		  1.974		 41.320		 44.070
COP	P	  2.790		  1.130		 16.150		 15.255
COP	S	  4.000		  0.578		 26.290		 23.633
BSD	P	 -2.120		  0.913		 14.130		 17.929
BSD	S	 -3.610		  1.083		 24.560		 30.019
HFS	P	  0.310		  0.404		 68.910		 69.769
HFS	S	  1.920		  1.535		121.990		122.370
KONO	P	 -0.640		 -0.322		 67.210		 68.293
KONO	S	  1.250		  1.251		120.990		121.756
SNART	P	 -0.840		  0.347		 64.780		 66.733

