SEISAN data: Reduced EIK3D model: 1D

Solutions:	YYYY MM DD hh mm ss   	x      y	 z	residual
SEISAN:		2010 02 19 21 09 01.70	420764 6304113	 60.1	0.40
EIK3D: 		2010 02 19 21 09 02.03	426500 6307000	 60.0	0.70

		SEISAN		EIK3D		SEISAN		EIK3D
STATION	PHASE	RESIDUAL	RESIDUAL	1D TRAVELTIME	3D TRAVELTIME
MUD	P	  0.180		  0.320		 17.240		 17.053
MUD	S	  0.280		  0.742		 29.750		 29.885
COP	P	 -0.400		 -0.174		 43.090		 42.989
BSD	P	  0.160		 -0.252		 64.600		 63.861
HFS	P	 -0.040		 -0.288		 65.750		 65.176
HFS	S	 -0.230		 -0.429		113.410		112.884
KONO	P	 -1.140		 -0.826		 42.510		 42.497
KONO	S	 -0.150		  0.615		 77.170		 77.609
SNART	P	 -1.000		 -1.047		 22.640		 22.266
SNART	S	  1.200		  1.339		 45.010		 44.823

